Date,Ticker,Sector,GlobalScore,SectorScore,Price,ret_1M,ret_3M,ret_6M,ret_12M,dist_from_52w_high,dist_from_52w_low,realized_vol_21d,trend_r2_63d,rsi_14,rel_ret_3M_vs_market,rel_ret_3M_vs_sector,ModelVersion,CorporateActionNote
2026-07-10,AAPL,Technology,88.18181818181819,70.0,315.32000732421875,0.0852521788742937,0.2116032603183042,0.2134822777712921,0.4993414881612978,-0.0028461004775477,0.564240256772393,0.3425608641454723,0.5131549926013587,61.87079237676195,0.0983750418469127,-0.0976211792845995,momentum_v1,
2026-07-10,ABBV,Health Care,80.0,70.0,248.0800018310547,0.1005234843677285,0.1776747578740507,0.0802444125280987,0.3438358563672956,-0.0497567898599397,0.3739162819028869,0.368645457699755,0.8040302163919523,74.65271790748608,0.0644465394026592,0.0958470405809164,momentum_v1,
2026-07-10,ABT,Health Care,6.363636363636363,10.0,93.93000030517578,0.0293698663580908,-0.0798356414935497,-0.2522192124548732,-0.2805223024421441,-0.3015626294154421,0.1377180605960242,0.2779259470487982,-0.0099494257832858,65.91694169586353,-0.1930638599649412,-0.161663358786684,momentum_v1,
2026-07-10,ADBE,Technology,2.727272727272727,20.0,223.63999938964844,-0.0598621372156905,-0.027398464751096,-0.3385389075645952,-0.4010391652872811,-0.4002199095709975,0.1563000628465494,0.4738596200210239,-0.400876057723239,82.10103079520896,-0.1406266832224876,-0.3366229043539999,momentum_v1,
2026-07-10,AEP,Utilities,64.54545454545455,90.0,135.42999267578125,0.0600343645217873,-0.0053696684333962,0.2092536130129298,0.3339583643945114,-0.0235057301048234,0.3383026198375196,0.210896328421187,0.0038062900483336,64.10349517823997,-0.1185978869047877,0.0253840583004197,momentum_v1,
2026-07-10,AMD,Technology,100.0,100.0,557.8900146484375,0.1732455746271606,1.357547397259002,1.6563660760842644,3.030705873040617,-0.0396274114067695,2.8699361853240006,0.8163688944766874,0.8185448049752931,53.3712331333055,1.2443191787876104,1.0483229576560982,momentum_v1,
2026-07-10,AMT,Real Estate,15.454545454545451,10.0,168.58999633789062,-0.1081104076337199,-0.0446292228412246,0.0145176467649923,-0.2106451708544849,-0.2463843896513873,0.0399728314301497,0.3346041225149903,-0.0420086688656793,41.95078791558731,-0.1578574413126161,-0.0939976143078429,momentum_v1,
2026-07-10,AMZN,Consumer Discretionary,45.45454545454545,80.0,245.33999633789065,0.0047094225192954,0.0500321110497667,0.0156482812448282,0.1024535083113915,-0.1078220842555526,0.2341667318472868,0.3481530524858375,-0.2536433329747136,50.94264376305316,-0.0631961074216247,0.0080450717411844,momentum_v1,
2026-07-10,APD,Materials,50.90909090909091,70.0,299.5299987792969,0.0650600372722221,0.01226130638755,0.158133294252968,0.0451075491911356,-0.0466596758273469,0.3238607479092372,0.399400066764801,-0.1206853502880163,62.606285414764415,-0.1009669120838414,0.0236744552628381,momentum_v1,
2026-07-10,AVB,Real Estate,69.0909090909091,50.0,191.83999633789065,0.0362811395145534,0.149066177736016,0.0907309575776251,-0.0058352614457126,-0.0246967097273975,0.2175002270872807,0.2366390925888143,0.5947252806394414,74.45398984946937,0.0358379592646245,0.0996977862693977,momentum_v1,
2026-07-10,AVGO,Technology,61.81818181818181,50.0,399.9700012207031,0.0215295518867391,0.1287453771381947,0.1686852294846572,0.4498042088758716,-0.1681312987733345,0.4684037373427061,0.5243635953358762,-0.1238737439914767,45.79512058378293,0.0155171586668032,-0.180479062464709,momentum_v1,
2026-07-10,AXP,Financials,57.27272727272727,50.0,350.5799865722656,0.104151152092867,0.1062708265903562,-0.0676035429718856,0.1165271567184429,-0.081726233707518,0.206593206916182,0.2755660376041034,0.2947431491519162,60.71731004373582,-0.0069573918810352,0.0171387804486984,momentum_v1,
2026-07-10,BA,Industrials,28.18181818181818,30.0,222.27999877929688,0.0362221083932448,0.0100881634342107,-0.0256005456027235,-0.0190644625236474,-0.1184612168955676,0.2409558108455305,0.3794600758120794,-0.0751975377653395,49.534092847947136,-0.1031400550371808,-0.0490185322705221,momentum_v1,
2026-07-10,BAC,Financials,79.0909090909091,70.0,59.66999816894531,0.0964718885822364,0.1379250742096645,0.0840960938216885,0.3016613392369442,-0.00383978883263,0.3572978875808985,0.2012375481862993,0.5079144518528113,68.35977315268758,0.0246968557382729,0.0487930280680066,momentum_v1,
2026-07-10,BKNG,Consumer Discretionary,20.0,40.0,178.38999938964844,0.0878101921710383,0.0126752372270551,-0.1771224472845879,-0.2065221470942821,-0.2212898011056236,0.1603092141971989,0.4386613420091618,-9.05424252074516e-05,56.14883952263113,-0.1005529812443364,-0.0293118020815272,momentum_v1,
2026-07-10,BLK,Financials,31.818181818181817,20.0,1036.1099853515625,0.0238645429212012,0.0402634199143749,-0.025431090902828,-0.0284089055474289,-0.1245152778441064,0.1289940724510132,0.2667572200220099,-0.2520022137152992,46.97272001070032,-0.0729647985570165,-0.0488686262272828,momentum_v1,
2026-07-10,BMY,Health Care,38.18181818181819,50.0,57.58000183105469,0.0309841280683031,-0.0208511628447048,0.0372071050317859,0.2661299698378552,-0.0567517983844692,0.3973153737395187,0.3112984517546455,-0.151634985076965,65.08542731819608,-0.1340793813160964,-0.1026788801378392,momentum_v1,
2026-07-10,C,Financials,90.9090909090909,90.0,140.7899932861328,0.0449788298876572,0.132372582798216,0.1715688617934025,0.6783058789461656,-0.0335004115065118,0.6601160593440096,0.256561558646755,0.5612843871149613,45.74108162733641,0.0191443643268245,0.0432405366565582,momentum_v1,
2026-07-10,CAT,Industrials,98.1818181818182,100.0,952.4099731445312,0.0412265884270752,0.2123739914322682,0.6033925250844041,1.3937481117018071,-0.1056343775852821,1.3791950481201098,0.589455282883499,0.734327694295585,46.23311304142936,0.0991457729608766,0.1532672957275354,momentum_v1,
2026-07-10,CL,Consumer Staples,70.0,60.0,92.23999786376952,0.0505694152356048,0.0787220949445746,0.2113321618857941,0.0326639056829702,-0.0638163252458394,0.2454198164640513,0.2434294770577513,0.7491501294471603,57.27079854615383,-0.0345061235268169,0.0636989701585544,momentum_v1,
2026-07-10,CMCSA,Communication Services,5.454545454545454,30.0,23.56999969482422,0.0017250873385754,-0.1560881423913646,-0.1235741953191683,-0.2597553061889409,-0.2632714326714493,0.0703918159574417,0.2996610976682159,-0.7731145478754713,67.10272683947045,-0.2693163608627561,-0.1356141182873139,momentum_v1,
2026-07-10,CMG,Consumer Discretionary,20.909090909090907,50.0,35.25,0.1797189086365298,0.0294976130847675,-0.0931309243982332,-0.3698605494214364,-0.375110794267851,0.2508871404634329,0.4150847549002638,-0.0865061778335331,61.44278504675853,-0.083730605386624,-0.0124894262238148,momentum_v1,
2026-07-10,COP,Energy,24.545454545454547,10.0,109.04000091552734,-0.066358420577507,-0.1103073646870592,0.1784672190387373,0.1917291753490071,-0.1789958583557435,0.3043708923804125,0.3546075943238947,-0.6012769326551619,52.888893711416486,-0.2235355831584508,-0.0779896574497682,momentum_v1,
2026-07-10,COST,Consumer Staples,17.272727272727273,20.0,916.25,-0.0540373381970397,-0.1108984214902856,0.0410762063144871,-0.0617889086292529,-0.1627220146109131,0.080980035644206,0.2381016179607266,-0.3698582359725925,38.035358860191465,-0.2241266399616771,-0.1259215462763058,momentum_v1,
2026-07-10,CRM,Technology,3.636363636363636,30.0,163.32000732421875,-0.0662017744481731,-0.0416065469902315,-0.3831690193442378,-0.3920629330909917,-0.3905556955637986,0.0879297404501444,0.3726986559771867,-0.2937926502954904,64.53401133070436,-0.1548347654616231,-0.3508309865931354,momentum_v1,
2026-07-10,CSCO,Technology,99.0909090909091,90.0,121.30999755859376,0.0116634638773014,0.4640352782513794,0.6384315376615224,0.787525589730157,-0.0633552809773222,0.8704216392044128,0.3498049487557494,0.7012439074125624,53.457394561806346,0.3508070597799879,0.1548108386484756,momentum_v1,
2026-07-10,CVX,Energy,32.72727272727273,40.0,176.39999389648438,-0.055472268767776,-0.0648472501467173,0.1582286477031445,0.2010725191993632,-0.156923125840302,0.2278737011419001,0.2775617508980815,-0.3986937704964072,54.4720562383231,-0.1780754686181088,-0.0325295429094263,momentum_v1,
2026-07-10,D,Utilities,85.45454545454545,100.0,70.08000183105469,0.0578113483932782,0.1040668561041544,0.2532593964001657,0.2804037173769271,0.0,0.2939890220792458,0.1540117465159948,0.8092287572282583,60.91500764933151,-0.009161362367237,0.1348205828379705,momentum_v1,
2026-07-10,DE,Industrials,47.27272727272727,40.0,586.8599853515625,0.0191417243122358,-0.047927070196896,0.2417971167788823,0.1666527636632802,-0.1092665473663089,0.3485077812815034,0.3499043691142111,0.0938912228544279,49.74838537121583,-0.1611552886682875,-0.1070337659016288,momentum_v1,
2026-07-10,DHR,Health Care,25.454545454545453,30.0,199.0500030517578,0.0586643077566075,0.0335403381249044,-0.151470350145441,-0.0021972412177853,-0.1741866350444239,0.2319371882013787,0.3193345090993071,0.0471568656159555,72.64221912588435,-0.0796878803464871,-0.0482873791682298,momentum_v1,
2026-07-10,DIS,Communication Services,12.727272727272728,40.0,95.62000274658205,-0.0299739636140732,-0.0344455003249175,-0.1466417163762596,-0.1957167930334115,-0.2109598539762273,0.0425523844286752,0.2706355285358426,-0.4097219765118338,30.119403057711068,-0.147673718796309,-0.0139714762208669,momentum_v1,
2026-07-10,DLR,Real Estate,30.909090909090907,20.0,180.41000366210935,-0.0179372525084926,-0.0347442592944853,0.1806640062319799,0.0843458134420966,-0.1093479389017062,0.2360537733859773,0.3227586485212797,-0.5372848265418797,39.77813889453134,-0.1479724777658768,-0.0841126507611036,momentum_v1,
2026-07-10,DOW,Materials,8.181818181818182,10.0,29.030000686645508,-0.1261288494910215,-0.2290959227495419,0.1964729391806641,0.0237433197236285,-0.2996132339445931,0.4637516620994395,0.3528488351347093,-0.8197641376805337,34.19204233510422,-0.3423241412209334,-0.2176827738742538,momentum_v1,
2026-07-10,DUK,Utilities,41.81818181818181,10.0,125.4800033569336,0.0134065875157547,-0.0483885936572258,0.098564824877295,0.1083448956400314,-0.0516686151949223,0.119668899798272,0.2104735371848999,-0.0168496536258926,53.90550077526223,-0.1616168121286173,-0.0176348669234097,momentum_v1,
2026-07-10,EA,Communication Services,60.909090909090914,80.0,206.41000366210935,0.0194093639742001,0.0217862397679076,0.0112502293150362,0.3572358445160533,-0.0007261517150329,0.4021433568242056,0.0438933277762424,0.346895852948099,82.46959871230659,-0.0914419787034839,0.0422602638719582,momentum_v1,
2026-07-10,ECL,Materials,42.72727272727273,50.0,274.3099975585937,0.0401512772260934,0.0094968233485286,0.0262131851061806,0.0336449589024303,-0.1055788494228188,0.1193489074673779,0.2576787319250925,0.0999138788015692,56.73852161909004,-0.1037313951228628,0.0209099722238167,momentum_v1,
2026-07-10,ED,Utilities,52.72727272727272,70.0,111.12000274658205,0.0443609130922344,-0.0254758799823625,0.1364705254449036,0.1484724590003643,-0.0295271924493437,0.1914995249453976,0.1926603548962785,0.0336342222494726,63.50738193600403,-0.1387040984537541,0.0052778467514534,momentum_v1,
2026-07-10,EOG,Energy,58.18181818181818,60.0,134.10000610351562,-0.0235199569247268,-0.0105345169329466,0.3303701526098119,0.1393816190567252,-0.0983974570731308,0.3404348309851948,0.309601674295499,-0.0093263247823047,57.45837948627289,-0.1237627354043381,0.0217831903043443,momentum_v1,
2026-07-10,EQIX,Real Estate,71.81818181818181,60.0,1051.2099609375,-0.0081427433962946,0.0240791149514272,0.367802468727932,0.4059161535402296,-0.0580048962018338,0.4628584552429893,0.2770590836254518,-0.0829887589769424,40.44844845756219,-0.0891491035199643,-0.025289276515191,momentum_v1,
2026-07-10,EQR,Real Estate,72.72727272727273,70.0,68.69000244140625,0.0227457295455932,0.1479247186857459,0.134066239693583,0.0790370214655995,-0.0208125310436957,0.2115223138930035,0.2139063763259527,0.7097772442315838,75.78170409585343,0.0346965002143544,0.0985563272191276,momentum_v1,
2026-07-10,ETN,Industrials,55.45454545454545,60.0,407.2799987792969,0.0138404797911446,0.0198919319280888,0.269653163023235,0.1451622812579962,-0.0653999726463673,0.2971913426948764,0.5734284022022944,-0.000207636480729,45.81093261114604,-0.0933362865433027,-0.039214763776644,momentum_v1,
2026-07-10,EXC,Utilities,46.36363636363636,30.0,46.79999923706055,0.0324287965282805,-0.0444958390610336,0.1082721630918168,0.1239826328043425,-0.0606457828196187,0.1315895885566138,0.2139975675121513,0.0125101411453186,56.50457813303605,-0.1577240575324251,-0.0137421123272175,momentum_v1,
2026-07-10,FCX,Materials,30.0,30.0,61.52000045776367,-0.0424902652488144,-0.0721524079415948,0.1136774034674399,0.3651101752353249,-0.1422197516638504,0.7552573318576217,0.5171504303646424,-0.0081112798113213,33.471837724256574,-0.1853806264129863,-0.0607392590663067,momentum_v1,
2026-07-10,GE,Industrials,84.54545454545455,90.0,359.2699890136719,0.0886025067738522,0.1491848759535696,0.1130942532004668,0.4424739139901441,-0.051257008655136,0.4296808515353858,0.307295430722746,0.7373249977303311,51.81645329887109,0.0359566574821781,0.0900781802488368,momentum_v1,
2026-07-10,GOOGL,Communication Services,89.0909090909091,100.0,357.17999267578125,-0.0194367125131282,0.1221493664939286,0.1107674097739701,1.0280768342378237,-0.1123309152391356,1.0166588684744058,0.3223876802533435,0.0180605764540097,42.54089538711363,0.008921148022537,0.1426233905979792,momentum_v1,
2026-07-10,GS,Financials,86.36363636363636,80.0,1055.1800537109375,0.0224513752057256,0.1727420787149056,0.1321842704955924,0.5453390891796845,-0.0462683746234712,0.5368447889945007,0.3123897674908783,0.7719280348574351,39.7927935740534,0.0595138602435141,0.0836100325732478,momentum_v1,
